Total Accesses:,3543311
Frames,Misses,Miss Rate
1,2965381,0.836895
2,2601326,0.734151
3,2437765,0.687991
4,2272893,0.641460
5,2177799,0.614623
6,2084853,0.588391
7,1972617,0.556716
8,1848898,0.521800
9,1760066,0.496729
10,1691159,0.477282
11,1629447,0.459866
12,1568361,0.442626
13,1507227,0.425372
14,1448045,0.408670
15,1392434,0.392975
16,1339156,0.377939
17,1287285,0.363300
18,1236789,0.349049
19,1188538,0.335431
20,1142354,0.322397
21,1098527,0.310028
22,1058107,0.298621
23,1020969,0.288140
24,987761,0.278768
25,958343,0.270465
26,932722,0.263235
27,910608,0.256994
28,891437,0.251583
29,874938,0.246927
30,860539,0.242863
31,847984,0.239320
32,836969,0.236211
33,827252,0.233469
34,818381,0.230965
35,810271,0.228676
36,802970,0.226616
37,796108,0.224679
38,789661,0.222860
39,783455,0.221108
40,777534,0.219437
41,771921,0.217853
42,766432,0.216304
43,761243,0.214839
44,756259,0.213433
45,751320,0.212039
46,746550,0.210693
47,741840,0.209364
48,737291,0.208080
49,732974,0.206861
50,728593,0.205625
51,724310,0.204416
52,720161,0.203245
53,716019,0.202076
54,712011,0.200945
55,708061,0.199830
56,704148,0.198726
57,700297,0.197639
58,696544,0.196580
59,692808,0.195526
60,689318,0.194541
61,685769,0.193539
62,682328,0.192568
63,678940,0.191612
64,675540,0.190652
65,672327,0.189745
66,669018,0.188812
67,665652,0.187862
68,662436,0.186954
69,659298,0.186068
70,656245,0.185207
71,653208,0.184350
72,650225,0.183508
73,647311,0.182685
74,644331,0.181844
75,641419,0.181022
76,638441,0.180182
77,635631,0.179389
78,632909,0.178621
79,630105,0.177829
80,627423,0.177073
81,624679,0.176298
82,622004,0.175543
83,619350,0.174794
84,616791,0.174072
85,614325,0.173376
86,611987,0.172716
87,609604,0.172044
88,607204,0.171366
89,604873,0.170708
90,602542,0.170051
91,600218,0.169395
92,597943,0.168753
93,595714,0.168124
94,593485,0.167494
95,591227,0.166857
96,589001,0.166229
97,586766,0.165598
98,584657,0.165003
99,582690,0.164448
100,580665,0.163876
101,578634,0.163303
102,576726,0.162765
103,574814,0.162225
104,572974,0.161706
105,571025,0.161156
106,569090,0.160610
107,567138,0.160059
108,565267,0.159531
109,563424,0.159011
110,561603,0.158497
111,559735,0.157969
112,557912,0.157455
113,556082,0.156939
114,554300,0.156436
115,552510,0.155930
116,550791,0.155445
117,549072,0.154960
118,547377,0.154482
119,545713,0.154012
120,544048,0.153542
121,542425,0.153084
122,540824,0.152632
123,539239,0.152185
124,537584,0.151718
125,536009,0.151273
126,534455,0.150835
127,532902,0.150397
128,531424,0.149979
129,529867,0.149540
130,528378,0.149120
131,526924,0.148709
132,525492,0.148305
133,524031,0.147893
134,522632,0.147498
135,521215,0.147098
136,519862,0.146716
137,518494,0.146330
138,517104,0.145938
139,515724,0.145549
140,514394,0.145173
141,513028,0.144788
142,511728,0.144421
143,510459,0.144063
144,509140,0.143690
145,507820,0.143318
146,506487,0.142942
147,505227,0.142586
148,503986,0.142236
149,502725,0.141880
150,501545,0.141547
151,500352,0.141210
152,499162,0.140874
153,497993,0.140545
154,496798,0.140207
155,495641,0.139881
156,494492,0.139556
157,493356,0.139236
158,492135,0.138891
159,490928,0.138551
160,489779,0.138226
161,488691,0.137919
162,487543,0.137595
163,486367,0.137263
164,485221,0.136940
165,484075,0.136617
166,482996,0.136312
167,481901,0.136003
168,480818,0.135697
169,479700,0.135382
170,478631,0.135080
171,477548,0.134775
172,476452,0.134465
173,475315,0.134144
174,474256,0.133845
175,473211,0.133551
176,472151,0.133251
177,471127,0.132962
178,470076,0.132666
179,469077,0.132384
180,468099,0.132108
181,467072,0.131818
182,466110,0.131546
183,465096,0.131260
184,464162,0.130997
185,463169,0.130716
186,462152,0.130429
187,461178,0.130155
188,460253,0.129893
189,459271,0.129616
190,458297,0.129341
191,457354,0.129075
192,456396,0.128805
193,455479,0.128546
194,454568,0.128289
195,453691,0.128042
196,452785,0.127786
197,451873,0.127528
198,450988,0.127279
199,450089,0.127025
200,449227,0.126782
201,448315,0.126524
202,447447,0.126279
203,446500,0.126012
204,445613,0.125762
205,444715,0.125508
206,443850,0.125264
207,442993,0.125022
208,442111,0.124773
209,441194,0.124515
210,440375,0.124283
211,439532,0.124046
212,438713,0.123814
213,437869,0.123576
214,437015,0.123335
215,436192,0.123103
216,435376,0.122873
217,434557,0.122642
218,433660,0.122388
219,432872,0.122166
220,432072,0.121940
221,431226,0.121701
222,430407,0.121470
223,429598,0.121242
224,428824,0.121024
225,428026,0.120798
226,427203,0.120566
227,426430,0.120348
228,425674,0.120135
229,424866,0.119906
230,424123,0.119697
231,423340,0.119476
232,422541,0.119250
233,421838,0.119052
234,421081,0.118838
235,420360,0.118635
236,419594,0.118419
237,418851,0.118209
238,418031,0.117978
239,417334,0.117781
240,416591,0.117571
241,415885,0.117372
242,415133,0.117160
243,414420,0.116958
244,413696,0.116754
245,412996,0.116557
246,412254,0.116347
247,411549,0.116148
248,410802,0.115937
249,410113,0.115743
250,409392,0.115539
